shipment_id,origin_country,origin_city,destination_country,destination_city,actual_ship,actual_delivery,weight,weight_uq,volume,volume_uq,vessel,flight_voyage,actual_transit_days,all_modes_goal_transit_days,delay_diff_days,distance_km,leadtime_expected_days,ship_year,ship_month,ship_week,ship_dow,average_distance_per_day,origin_temp_mean,origin_temp_max,origin_temp_min,origin_precip_mm,origin_rained,dest_temp_mean,dest_temp_max,dest_temp_min,dest_precip_mm,dest_rained
AF2242025719,ZA,JNB,ZM,KIW,2024-08-25,2024-08-31,837.0,KG,1.31,M3,8 TONNER,ROAD,6,6,0,1930,5,2024,8,34,Sunday,386.0,19.809090909090912,22.9,13.5,0.0,False,24.618181818181817,27.5,20.2,0.6,True
AF2242025746,ZA,JNB,ZM,KIW,2024-08-29,2024-09-04,3969.0,KG,0.0,M3,12 TONNER,ROAD,6,6,0,1930,5,2024,8,35,Thursday,386.0,18.345454545454544,22.1,9.1,0.0,False,23.0,26.2,15.9,0.0,False
AF2242025720,ZA,JNB,ZM,LUN,2024-08-25,2024-08-30,816.0,KG,401.0,M3,8 TONNER,ROAD,5,5,0,1571,4,2024,8,34,Sunday,392.75,19.809090909090912,22.9,13.5,0.0,False,24.845454545454547,27.9,20.4,0.1,True
AF2242025745,ZA,JNB,ZM,LUN,2024-08-29,2024-09-03,1063.0,KG,5.42,M3,12 TONNER,ROAD,5,5,0,1571,4,2024,8,35,Thursday,392.75,18.345454545454544,22.1,9.1,0.0,False,20.2,23.4,14.7,0.0,False
AF2242025761,ZA,JNB,ZM,LUN,2024-08-29,2024-09-05,2224.0,KG,9.54,M3,12 TONNER,ROAD,7,5,2,1571,4,2024,8,35,Thursday,392.75,18.345454545454544,22.1,9.1,0.0,False,22.363636363636363,25.5,15.7,0.0,False
AF2242025767,ZA,JNB,ZM,LUN,2024-08-31,2024-09-05,915.0,KG,1.29,M3,4 TONNER,ROAD,5,5,0,1571,4,2024,8,35,Saturday,392.75,14.536363636363632,17.6,7.8,0.0,False,22.363636363636363,25.5,15.7,0.0,False
AF2242025807,ZA,JNB,ZM,LUN,2024-09-05,2024-09-10,3814.0,KG,10.48,M3,8 TONNER,ROAD,5,5,0,1571,4,2024,9,36,Thursday,392.75,19.799999999999997,23.0,13.8,0.0,False,26.60909090909091,29.3,22.4,0.0,False
AF2242025741,ZA,JNB,CD,FBM,2024-08-29,2024-09-06,6942.0,KG,0.0,M3,8 TONNER,ROAD,8,7,1,2115,6,2024,8,35,Thursday,352.5,18.345454545454544,22.1,9.1,0.0,False,25.872727272727275,29.4,17.7,0.0,False
AF2242025742,ZA,JNB,CD,FBM,2024-08-29,2024-09-05,2235.0,KG,0.0,M3,4 TONNER,ROAD,7,7,0,2115,6,2024,8,35,Thursday,352.5,18.345454545454544,22.1,9.1,0.0,False,24.327272727272724,27.6,16.0,0.0,False
AF2242025757,ZA,JNB,CD,FBM,2024-08-31,2024-09-07,384.0,KG,0.0,M3,4 TONNER,ROAD,7,7,0,2115,6,2024,8,35,Saturday,352.5,14.536363636363632,17.6,7.8,0.0,False,26.672727272727272,29.9,18.9,0.0,False
