iter	Passed	Remaining
0	59	35702
1	62	18738
2	64	12792
3	68	10220
4	73	8761
5	77	7663
6	78	6609
7	80	5936
8	80	5294
9	81	4831
10	85	4580
11	87	4305
12	92	4175
13	92	3885
14	96	3752
15	98	3579
16	100	3431
17	102	3299
18	103	3170
19	106	3098
20	111	3070
21	113	2977
22	114	2870
23	115	2767
24	119	2748
25	120	2658
26	124	2649
27	127	2604
28	128	2524
29	131	2505
30	132	2428
31	134	2379
32	135	2335
33	137	2291
34	139	2254
35	140	2206
36	141	2145
37	142	2105
38	143	2061
39	143	2009
40	144	1967
41	146	1940
42	147	1914
43	149	1892
44	152	1884
45	153	1849
46	156	1840
47	158	1821
48	158	1786
49	160	1766
50	162	1746
51	164	1736
52	167	1727
53	169	1709
54	170	1689
55	172	1672
56	174	1657
57	179	1674
58	181	1665
59	185	1672
60	187	1660
61	188	1633
62	189	1619
63	191	1602
64	192	1585
65	193	1563
66	195	1557
67	197	1545
68	201	1547
69	201	1528
70	204	1526
71	206	1513
72	206	1492
73	207	1476
74	209	1467
75	211	1457
76	212	1440
77	212	1420
78	213	1410
79	215	1402
80	217	1394
81	219	1385
82	220	1375
83	223	1371
84	224	1361
85	225	1346
86	228	1349
87	231	1345
88	233	1341
89	234	1330
90	237	1329
91	239	1322
92	242	1319
93	245	1319
94	246	1310
95	248	1302
96	257	1334
97	259	1327
98	262	1327
99	264	1321
100	265	1313
101	268	1311
102	271	1308
103	272	1301
104	276	1304
105	278	1296
106	281	1295
107	284	1294
108	286	1292
109	290	1294
110	293	1294
111	295	1288
112	297	1283
113	299	1277
114	302	1274
115	303	1268
116	305	1262
117	307	1255
118	309	1252
119	312	1251
120	314	1245
121	318	1248
122	321	1245
123	323	1240
124	326	1238
125	327	1232
126	328	1223
127	330	1217
128	332	1213
129	335	1212
130	338	1211
131	340	1205
132	342	1202
133	343	1196
134	345	1191
135	348	1189
136	350	1184
137	352	1181
138	354	1176
139	356	1171
140	357	1165
141	359	1159
142	361	1155
143	364	1153
144	366	1148
145	367	1143
146	369	1139
147	371	1133
148	372	1128
149	375	1126
150	377	1121
151	385	1136
152	387	1133
153	391	1132
154	392	1128
155	395	1125
156	397	1120
157	399	1117
158	402	1116
159	404	1112
160	406	1108
161	408	1104
162	410	1099
163	412	1096
164	413	1091
165	415	1086
166	418	1084
167	421	1083
168	423	1078
169	424	1074
170	428	1074
171	429	1069
172	431	1065
173	433	1060
174	434	1056
175	436	1052
176	438	1048
177	441	1045
178	443	1042
179	444	1038
180	447	1034
181	448	1029
182	449	1025
183	453	1025
184	455	1021
185	458	1021
186	461	1018
187	462	1014
188	464	1010
189	466	1007
190	469	1004
191	471	1001
192	473	997
193	475	995
194	478	993
195	480	990
196	483	988
197	486	987
198	489	985
199	490	981
200	492	978
201	494	975
202	496	970
203	501	974
204	511	986
205	514	984
206	516	980
207	520	980
208	524	981
209	527	980
210	529	976
211	531	973
212	533	969
213	536	967
214	540	967
215	544	967
216	548	967
217	551	965
218	554	964
219	560	968
220	564	968
221	568	968
222	571	966
223	573	963
224	576	961
225	581	961
226	583	959
227	585	955
228	592	959
229	594	956
230	600	959
231	601	954
232	604	951
233	606	948
234	608	945
235	610	941
236	613	939
237	617	938
238	619	935
239	622	933
240	624	930
241	626	926
242	628	923
243	631	921
244	632	917
245	634	912
246	637	911
247	639	907
248	641	904
249	643	900
250	646	899
251	648	896
252	650	891
253	652	888
254	654	885
255	656	881
256	657	877
257	659	873
258	661	871
259	663	867
260	664	863
261	666	859
262	669	858
263	674	857
264	677	855
265	678	852
266	683	852
267	686	850
268	689	848
269	691	845
270	694	842
271	696	839
272	698	836
273	700	832
274	701	828
275	703	825
276	705	822
277	706	818
278	708	815
279	713	815
280	715	811
281	719	811
